codigo_cnes,nome_fantasia,nome_razao_social,codigo_tipo_unidade,bairro_estabelecimento,endereco_estabelecimento,numero_telefone_estabelecimento,descricao_turno_atendimento,descricao_esfera_administrativa,estabelecimento_faz_atendimento_ambulatorial_sus,estabelecimento_possui_atendimento_hospitalar,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,descricao_tipo_unidade,distrito
3837645,FISIOCLINICA,CLINICA FISIOTERAPICA MYRENIA CAMARGOS ME,39,CENTRO,RUA JOAO FERNANDES DO CARMO,(31)35712046,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14415133061372,-44.19971466064453,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Brumadinho
3850951,FLAVIA CRISTINA CAMPOS,FLAVIA CRISTINA CAMPOS,22,CENTRO,RUA JOAO FERNANDES DO CARMO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.143829008870576,-44.20005798339844,CONSULTORIO ISOLADO,Brumadinho
3852296,WENDEL TINOCO ESTEVES,WENDEL TINOCO ESTEVES,22,CENTRO,RUA DR VICTOR DE FREITAS,35712904,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1425079,-44.1994505,CONSULTORIO ISOLADO,Brumadinho
3866084,CENTRO DE ESPECIALIDADES ODONTOLOGICAS,CENTRO DE ESPECIALIDADES ODONTOLOGICAS,36,JOTA POLICLINICA,AVENIDA NOSSA SENHORA DO BELO RAMO,35713020,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.1584797,-44.1951622,CLINICA/CENTRO DE ESPECIALIDADE,Brumadinho
3927199,GEISEANE RIBEIRO MACIEL,GEISEANE RIBEIRO MACIEL,22,CENTRO,RUA JOAO FERNANDES DO CARMO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.144252056022037,-44.19947862625122,CONSULTORIO ISOLADO,Brumadinho
3991954,UNIDADE DE SAUDE DA FAMILIA GRAJAU,PREFEITURA MUNICIPAL DE BRUMADINHO,2,PROGRESSO,RUA COLETORA,(31)35712090,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.141291,-44.215754,CENTRO DE SAUDE/UNIDADE BASICA,Brumadinho
3993884,LABORATORIO DE ANALISES CLINICAS HOSPITALAR,PREFEITURA MUNICIPAL DE BRUMADINHO,39,SANTA CRUZ,MG 040 KM 50,(31)35713020,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",MUNICIPAL,SIM,0.0,-20.109583,-44.208183,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Brumadinho
4134540,ORALDENTS,CLINICA ODONTOLOGICA ORALDENTS BRUMADINHO LTDA,22,SANTO ANTONIO,RUA PADRE EUSTAQUIO,31991523536,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1401043,-44.2008199,CONSULTORIO ISOLADO,Brumadinho
4236246,USG DIAGNOSTICO POR IMAGEM E DERMATOLOGIA ESTETICA,USG DIAGNOSTICO POR IMAGEM LTDA,22,CONDOMINIO ASAVILLE,RUA 4,31996334839,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1954436,-44.1028038,CONSULTORIO ISOLADO,Aranha
4331354,USA BRUMADINHO,CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO OESTE PARA GEREN,42,SANTA CRUZ,ROD MG 040 S N KM 48,3736903200,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",ESTADUAL,NAO,,-20.143,-44.2,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,Brumadinho
