aba_origem,variavel,variavel_num,tipo,tema,descricao
Dicionário não PCT,V00038,38,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Com 2 moradores no domicílio"
Dicionário não PCT,V00039,39,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Com 3 moradores no domicílio"
Dicionário não PCT,V00040,40,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Com 4 moradores no domicílio"
Dicionário não PCT,V00041,41,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Com 5 moradores no domicílio"
Dicionário não PCT,V00042,42,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Com 6 moradores no domicílio"
Dicionário não PCT,V00043,43,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Com 7 moradores no domicílio"
Dicionário não PCT,V00044,44,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Com 8 moradores no domicílio"
Dicionário não PCT,V00045,45,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Com 9 moradores no domicílio"
Dicionário não PCT,V00046,46,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Com 10 ou mais moradores no domicílio"
Dicionário não PCT,V00047,47,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa"
Dicionário não PCT,V00048,48,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio"
Dicionário não PCT,V00049,49,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento"
Dicionário não PCT,V00050,50,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é habitação em casa de cômodos ou cortiço"
Dicionário não PCT,V00051,51,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é habitação indígena sem paredes ou maloca"
Dicionário não PCT,V00052,52,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Tipo de espécie é estrutura residencial permanente degradada ou inacabada"
Dicionário não PCT,V00053,53,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Tipo de espécie é tenda ou barraca de lona, plástico ou tecido"
