CD_DIST,NM_DIST,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00008,V00009,V00010,V00011,V00012,V00013,V00014,V00015,V00016,V00017,V00018,V00019,V00020,V00021,V00022,V00023,V00024,V00025,V00026,V00027,V00028,V00029,V00030,V00031,V00032,V00033,V00034,V00035,V00036,V00037,V00038,V00039,V00040,V00041,V00042,V00043,V00044,V00045,V00046,V00047,V00048,V00049,V00050,V00051,V00052,V00053,V00054,V00055,V00056,V00057,V00058,V00059,V00060,V00061,V00062,V00063,V00064,V00065,V00066,V00067,V00068,V00069,V00070,V00071,V00072,V00073,V00074,V00075,V00076,V00077,V00078,V00079,V00080,V00081,V00082,V00083,V00084,V00085,V00086,V00087,V00088,V00089,distrito_alvo
310900615,Conceição de Itaguá,2405,0,0,2405,7104,0,0,910,0,0,3508,0,0,3596,0,0,378,621,609,488,192,64,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2333,33,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7104,910,3508,3596,378,621,609,488,192,64,11,4,0,0,6915,92,64,881,15,12,Conceição de Itaguá
310900625,São José do Paraopeba,497,0,0,497,1388,0,0,151,0,0,732,0,0,656,0,0,96,154,110,71,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,151,732,656,96,154,110,71,27,3,3,0,0,0,1376,8,0,151,0,0,São José do Paraopeba
