CD_DIST,NM_DIST,V01006,V01007,V01008,V01009,V01010,V01011,V01012,V01013,V01014,V01015,V01016,V01017,V01018,V01019,V01020,V01021,V01022,V01023,V01024,V01025,V01026,V01027,V01028,V01029,V01030,V01031,V01032,V01033,V01034,V01035,V01036,V01037,V01038,V01039,V01040,V01041,distrito_alvo
310900615,Conceição de Itaguá,7104,3508,3596,211,228,242,253,308,284,522,568,391,287,193,208,251,221,240,280,267,550,533,476,325,203,420,481,463,499,588,551,1076,1105,869,616,405,Conceição de Itaguá
310900625,São José do Paraopeba,1388,732,656,27,39,26,39,51,58,110,88,121,97,52,35,37,42,22,37,41,83,79,104,77,78,72,78,76,68,91,103,193,167,225,174,131,São José do Paraopeba
