CD_DIST,NM_DIST,V03000,V03001,V03002,V03003,V03004,V03005,V03006,V03007,V03008,V03009,V03010,V03011,V03012,V03013,V03014,V03015,V03016,V03017,V03018,V03019,V03020,V03021,V03022,V03023,V03024,V03025,V03026,V03027,V03028,V03029,V03030,V03031,V03032,V03033,V03034,V03035,V03036,V03037,V03038,V03039,V03040,V03041,V03042,V03043,V03044,V03045,V03046,V03047,V03048,V03049,V03050,V03051,V03052,V03053,V03054,V03055,V03056,V03057,V03058,V03059,V03060,V03061,V03062,V03063,V03064,V03065,V03066,V03067,V03068,V03069,V03070,V03071,V03072,V03073,V03074,V03075,V03076,V03077,V03078,V03079,V03080,V03081,V03082,V03083,V03084,V03085,V03086,V03087,V03088,V03089,V03090,V03091,V03092,V03093,V03094,V03095,V03096,V03097,V03098,V03099,V03100,V03101,V03102,V03103,V03104,V03105,V03106,V03107,V03108,V03109,V03110,V03111,V03112,V03113,V03114,V03115,V03116,V03117,V03118,V03119,V03120,V03121,V03122,V03123,V03124,V03125,V03126,V03127,V03128,V03129,V03130,V03131,V03132,V03133,V03134,V03135,V03136,V03137,V03138,V03139,V03140,V03141,V03142,V03143,V03144,V03145,V03146,V03147,V03148,V03149,V03150,V03151,V03152,V03153,V03154,V03155,V03156,V03157,V03158,V03159,V03160,V03161,V03162,V03163,V03164,V03165,V03166,V03167,V03168,V03169,V03170,V03171,V03172,V03173,V03174,V03175,V03176,V03177,V03178,V03179,V03180,V03181,V03182,V03183,V03184,V03185,V03186,V03187,V03188,V03189,V03190,V03191,V03192,V03193,V03194,V03195,distrito_alvo
310900615,Conceição de Itaguá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conceição de Itaguá
310900625,São José do Paraopeba,171,526,0,0,519,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,519,4,0,344,166,0,13,0,0,0,0,105,59,0,3,0,0,0,0,521,5,0,170,0,0,344,0,0,161,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,58,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,29,50,13,146,5,0,29,0,0,49,0,0,13,0,0,526,0,171,0,0,0,0,0,427,73,20,4,136,26,0,0,0,0,0,0,4,0,32,345,7,138,0,0,0,0,11,115,0,37,0,0,217,291,10,0,0,0,67,94,0,0,0,0,512,10,165,0,12,154,São José do Paraopeba
