CD_DIST,NM_DIST,V01224,V01225,V01226,V01227,V01228,V01229,V01230,V01231,V01232,V01233,V01234,V01235,V01236,V01237,V01238,V01239,V01240,V01241,V01242,V01243,V01244,V01245,V01246,V01247,V01248,V01249,V01250,V01251,V01252,V01253,V01254,V01255,V01256,V01257,V01258,V01259,V01260,V01261,V01262,V01263,V01264,V01265,V01266,V01267,V01268,V01269,V01270,V01271,V01272,V01273,V01274,V01275,V01276,V01277,V01278,V01279,V01280,V01281,V01282,V01283,V01284,V01285,V01286,V01287,V01288,V01289,V01290,V01291,V01292,V01293,V01294,V01295,V01296,V01297,V01298,V01299,V01300,V01301,V01302,V01303,V01304,V01305,V01306,V01307,V01308,V01309,V01310,V01311,V01312,V01313,V01314,V01315,V01316,distrito_alvo
310900615,Conceição de Itaguá,162,2246,107,53,0,0,0,0,0,3,3,6,5,14,20,0,0,0,0,0,0,0,0,3,0,31,105,0,53,0,41,730,24,324,0,0,78,1183,0,0,34,6,10,16,28,4,17,18,0,6,0,0,0,7,3,11,5,3,0,4,6,0,0,11,4,0,0,0,0,0,0,0,7,0,0,0,3,0,0,3,8,0,0,0,7,0,0,0,3,0,0,0,6,Conceição de Itaguá
310900625,São José do Paraopeba,41,456,19,14,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,6,18,0,14,0,5,147,5,107,0,0,16,198,0,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São José do Paraopeba
