CD_DIST,NM_DIST,CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_NU,NM_NU,CD_AGLOM,NM_AGLOM,CD_RGINT,NM_RGINT,CD_RGI,NM_RGI,CD_CONCURB,NM_CONCURB,AREA_KM2,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,distrito_alvo
310900615,Conceição de Itaguá,3,Sudeste,31,Minas Gerais,3109006,Brumadinho,3109006013,Quintas do Rio Manso,.,,3101,Belo Horizonte,310001,Belo Horizonte,3106200,Belo Horizonte/MG,"118,8365656",7104,3279,3266,13,"3,0","0,0341",2405,529,332,Conceição de Itaguá
310900625,São José do Paraopeba,3,Sudeste,31,Minas Gerais,3109006,Brumadinho,3109006011,Marinhos,310900600027,Comunidade Quilombola Marinhos,3101,Belo Horizonte,310001,Belo Horizonte,3106200,Belo Horizonte/MG,"78,8260453",1388,981,980,1,"2,8","0,0241",497,336,147,São José do Paraopeba
