Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito)
310900,Município,2024,Número de Empregos,BrAm - Total,64221,18,642,64,K
310900,Município,2024,Número de Empregos,BrAm - Total,64239,3,642,64,K
310900,Município,2024,Número de Empregos,BrAm - Total,64247,19,642,64,K
310900,Município,2024,Número de Empregos,BrAm - Total,66223,1,662,66,K
310900,Município,2024,Número de Empregos,BrAm - Total,68102,1,681,68,L
310900,Município,2024,Número de Empregos,BrAm - Total,68218,7,682,68,L
310900,Município,2024,Número de Empregos,BrAm - Total,68226,2,682,68,L
310900,Município,2024,Número de Empregos,BrAm - Total,69117,1,691,69,M
310900,Município,2024,Número de Empregos,BrAm - Total,69125,16,691,69,M
310900,Município,2024,Número de Empregos,BrAm - Total,69206,21,692,69,M
310900,Município,2024,Número de Empregos,BrAm - Total,70204,2,702,70,M
310900,Município,2024,Número de Empregos,BrAm - Total,71120,20,711,71,M
310900,Município,2024,Número de Empregos,BrAm - Total,71197,3,711,71,M
310900,Município,2024,Número de Empregos,BrAm - Total,73190,4,731,73,M
310900,Município,2024,Número de Empregos,BrAm - Total,73203,1,732,73,M
310900,Município,2024,Número de Empregos,BrAm - Total,74901,12,749,74,M
310900,Município,2024,Número de Empregos,BrAm - Total,75001,8,750,75,M
310900,Município,2024,Número de Empregos,BrAm - Total,77195,8,771,77,N
310900,Município,2024,Número de Empregos,BrAm - Total,77322,5,773,77,N
310900,Município,2024,Número de Empregos,BrAm - Total,77390,1,773,77,N
310900,Município,2024,Número de Empregos,BrAm - Total,79112,1,791,79,N
310900,Município,2024,Número de Empregos,BrAm - Total,81125,111,811,81,N
310900,Município,2024,Número de Empregos,BrAm - Total,82113,5,821,82,N
310900,Município,2024,Número de Empregos,BrAm - Total,82997,11,829,82,N
310900,Município,2024,Número de Empregos,BrAm - Total,84116,1120,841,84,O
310900,Município,2024,Número de Empregos,BrAm - Total,85121,4,851,85,P
310900,Município,2024,Número de Empregos,BrAm - Total,85139,48,851,85,P
310900,Município,2024,Número de Empregos,BrAm - Total,85201,9,852,85,P
310900,Município,2024,Número de Empregos,BrAm - Total,85333,54,853,85,P
310900,Município,2024,Número de Empregos,BrAm - Total,85937,6,859,85,P
310900,Município,2024,Número de Empregos,BrAm - Total,85996,17,859,85,P
310900,Município,2024,Número de Empregos,BrAm - Total,86101,37,861,86,Q
310900,Município,2024,Número de Empregos,BrAm - Total,86305,22,863,86,Q
310900,Município,2024,Número de Empregos,BrAm - Total,86402,10,864,86,Q
310900,Município,2024,Número de Empregos,BrAm - Total,86500,3,865,86,Q
310900,Município,2024,Número de Empregos,BrAm - Total,86909,1,869,86,Q
