CD_DIST,NM_DIST,V01317,V01318,V01319,V01320,V01321,V01322,V01323,V01324,V01325,V01326,V01327,V01328,V01329,V01330,V01331,V01332,V01333,V01334,V01335,V01336,V01337,V01338,V01339,V01340,V01341,V01342,V01343,V01344,V01345,V01346,V01347,V01348,V01349,V01350,V01351,V01352,V01353,V01354,V01355,V01356,V01357,V01358,V01359,V01360,V01361,V01362,V01363,V01364,V01365,V01366,V01367,V01368,V01369,V01370,V01371,V01372,V01373,V01374,V01375,V01376,V01377,V01378,V01379,V01380,V01381,V01382,V01383,V01384,V01385,V01386,V01387,V01388,V01389,V01390,V01391,V01392,V01393,V01394,V01395,V01396,V01397,V01398,V01399,V01400,V01401,V01402,V01403,V01404,V01405,V01406,V01407,V01408,V01409,V01410,V01411,distrito_alvo
310900615,Conceição de Itaguá,2424,859,0,3807,3,1198,429,0,1874,0,1226,428,0,1931,0,780,354,0,1261,0,408,366,174,178,0,0,664,595,0,0,3,24,166,355,218,3,14,103,153,72,0,0,0,0,0,4,84,312,524,321,0,0,0,0,0,516,98,0,754,0,507,217,0,916,0,1023,424,0,1595,0,367,114,0,534,0,166,26,0,238,0,1021,399,0,1633,0,180,31,0,244,0,1042,394,0,1685,0,Conceição de Itaguá
310900625,São José do Paraopeba,389,333,0,660,0,204,167,0,354,0,182,166,0,304,0,158,119,0,215,0,111,46,60,55,0,0,145,69,0,0,0,0,18,61,75,0,0,7,49,43,0,0,0,0,0,0,0,46,77,83,0,0,0,0,0,53,39,0,129,0,50,75,0,131,0,169,142,0,269,0,110,65,0,126,0,13,7,0,39,0,189,154,0,309,0,21,7,0,41,0,161,155,0,260,0,São José do Paraopeba
