CD_DIST,NM_DIST,V01042,V01043,V01044,V01045,V01046,V01047,V01048,V01049,V01050,V01051,V01052,V01053,V01054,V01055,V01056,V01057,V01058,V01059,V01060,V01061,V01062,V01063,V01064,V01065,V01066,V01067,V01068,V01069,V01070,V01071,V01072,V01073,V01074,V01075,V01076,V01077,V01078,V01079,V01080,V01081,V01082,V01083,V01084,V01085,V01086,V01087,V01088,V01089,V01090,V01091,V01092,V01093,V01094,V01095,V01096,V01097,V01098,V01099,V01100,V01101,V01102,V01103,V01104,V01105,V01106,V01107,V01108,V01109,V01110,V01111,V01112,V01113,V01114,V01115,V01116,V01117,V01118,V01119,V01120,V01121,V01122,V01123,V01124,V01125,V01126,V01127,V01128,V01129,V01130,V01131,V01132,V01133,V01134,V01135,V01136,V01137,V01138,V01139,V01140,V01141,V01142,V01143,V01144,V01145,V01146,V01147,V01148,V01149,V01150,V01151,V01152,V01153,V01154,V01155,V01156,V01157,V01158,V01159,V01160,V01161,V01162,V01163,V01164,V01165,V01166,V01167,V01168,V01169,V01170,V01171,V01172,V01173,V01174,V01175,V01176,V01177,V01178,V01179,V01180,V01181,V01182,V01183,V01184,V01185,V01186,V01187,V01188,V01189,V01190,V01191,V01192,V01193,V01194,V01195,V01196,V01197,V01198,V01199,V01200,V01201,V01202,V01203,V01204,V01205,V01206,V01207,V01208,V01209,V01210,V01211,V01212,V01213,V01214,V01215,V01216,V01217,V01218,V01219,V01220,V01221,V01222,V01223,distrito_alvo
310900615,Conceição de Itaguá,2405,1437,0,1558,773,77,54,193,9,239,3,178,4,80,7,9,0,0,0,0,1253,1150,13,132,585,1038,624,0,6,55,121,161,173,203,154,157,128,103,66,30,15,6,283,306,264,234,200,115,105,23,0,0,0,0,7,3,6,11,3,0,0,0,0,0,0,0,0,3,11,10,0,0,0,0,0,0,0,0,9,18,24,16,13,12,9,6,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,64,63,38,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,8,19,20,9,8,3,5,0,28,1437,0,0,961,0,864,570,0,0,0,0,382,571,0,0,396,875,163,392,560,0,253,140,535,338,71,87,57,334,324,233,0,0,378,1628,368,19,0,212,161,855,768,161,204,6,0,0,0,Conceição de Itaguá
310900625,São José do Paraopeba,497,272,0,245,157,4,10,8,5,99,0,20,0,26,0,0,0,0,0,0,319,176,0,3,85,196,205,0,0,6,10,19,20,21,30,40,22,26,14,7,0,4,36,40,31,30,23,27,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,11,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,272,0,0,223,0,207,65,0,0,0,0,109,110,0,0,109,137,24,84,136,0,87,16,107,24,7,9,8,67,93,38,0,0,96,293,98,3,0,75,14,195,95,41,54,0,0,0,0,São José do Paraopeba
