Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito),Desvio Padrão
310900,Município,2024,Média do Salário Real,BrAm - Total,47717,2275.07075,477,47,G,947.0181649934854
310900,Município,2024,Média do Salário Real,BrAm - Total,47725,5242.955,477,47,G,1407.2485605784073
310900,Município,2024,Média do Salário Real,BrAm - Total,47741,2260.7933333333335,477,47,G,877.64072846847
310900,Município,2024,Média do Salário Real,BrAm - Total,47814,1682.7484615384608,478,47,G,384.8270956138919
310900,Município,2024,Média do Salário Real,BrAm - Total,47822,1645.2630769230768,478,47,G,679.1535410885207
310900,Município,2024,Média do Salário Real,BrAm - Total,47849,1694.3999999999999,478,47,G,244.56557402872542
310900,Município,2024,Média do Salário Real,BrAm - Total,47890,2101.077142857143,478,47,G,778.4887667721841
310900,Município,2024,Média do Salário Real,BrAm - Total,49213,2598.681111111111,492,49,H,663.6065797489587
310900,Município,2024,Média do Salário Real,BrAm - Total,49248,1515.24,492,49,H,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,49299,3730.793695652174,492,49,H,3169.2936293869498
310900,Município,2024,Média do Salário Real,BrAm - Total,49302,2681.4474999999993,493,49,H,1086.560666303883
310900,Município,2024,Média do Salário Real,BrAm - Total,52125,5384.52,521,52,H,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,52231,1628.24,522,52,H,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,52508,4755.8971794871795,525,52,H,3686.789848859352
310900,Município,2024,Média do Salário Real,BrAm - Total,53105,4526.825,531,53,H,1049.8973578926657
310900,Município,2024,Média do Salário Real,BrAm - Total,55108,2500.972631578947,551,55,I,2273.2166972598534
310900,Município,2024,Média do Salário Real,BrAm - Total,56112,2019.194315789473,561,56,I,1389.9646490825803
310900,Município,2024,Média do Salário Real,BrAm - Total,56201,1879.5978260869565,562,56,I,589.7473387042078
310900,Município,2024,Média do Salário Real,BrAm - Total,61108,1453.3485714285712,611,61,J,802.6319523797642
310900,Município,2024,Média do Salário Real,BrAm - Total,64221,7915.554375,642,64,K,4789.861271324349
310900,Município,2024,Média do Salário Real,BrAm - Total,64239,25882.13333333333,642,64,K,1710.9192170974452
310900,Município,2024,Média do Salário Real,BrAm - Total,64247,4497.703684210527,642,64,K,3535.3755284869753
310900,Município,2024,Média do Salário Real,BrAm - Total,66223,2760.36,662,66,K,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,68102,2050,681,68,L,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,68218,2012.9749999999997,682,68,L,431.99172296468834
310900,Município,2024,Média do Salário Real,BrAm - Total,68226,2837.19,682,68,L,1529.7972368258481
310900,Município,2024,Média do Salário Real,BrAm - Total,69117,1723.77,691,69,M,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,69125,2921.0625,691,69,M,2163.580657729219
310900,Município,2024,Média do Salário Real,BrAm - Total,69206,2726.9010526315788,692,69,M,806.0591342443993
310900,Município,2024,Média do Salário Real,BrAm - Total,70204,3775.64,702,70,M,77.89488301550998
310900,Município,2024,Média do Salário Real,BrAm - Total,71120,1973.2357142857143,711,71,M,751.0942426632657
310900,Município,2024,Média do Salário Real,BrAm - Total,71197,2341.68,711,71,M,1015.8266196059245
310900,Município,2024,Média do Salário Real,BrAm - Total,73190,3333.75,731,73,M,1114.1202022522823
310900,Município,2024,Média do Salário Real,BrAm - Total,73203,1468.47,732,73,M,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,74901,4379.451999999999,749,74,M,2529.885179501675
310900,Município,2024,Média do Salário Real,BrAm - Total,75001,1821.375,750,75,M,408.96740023765085
310900,Município,2024,Média do Salário Real,BrAm - Total,77195,2835.8314285714287,771,77,N,1213.840020793907
310900,Município,2024,Média do Salário Real,BrAm - Total,77322,1970.1619999999998,773,77,N,385.6931049681858
310900,Município,2024,Média do Salário Real,BrAm - Total,77390,1412,773,77,N,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,81125,2939.7439814814825,811,81,N,1552.3606205148085
310900,Município,2024,Média do Salário Real,BrAm - Total,82113,3621.075,821,82,N,3076.428427755146
310900,Município,2024,Média do Salário Real,BrAm - Total,82997,1828.8100000000002,829,82,N,386.81583221217824
310900,Município,2024,Média do Salário Real,BrAm - Total,84116,5181.746929057342,841,84,O,2909.8034218828698
310900,Município,2024,Média do Salário Real,BrAm - Total,85121,1606,851,85,P,387.5591088681399
