CD_DIST,NM_DIST,V00496,V00497,V00498,V00499,V00500,V00501,V00502,V00503,V00504,V00505,V00506,V00507,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00516,V00517,V00518,V00519,V00520,V00521,V00522,V00523,V00524,V00525,V00526,V00527,V00528,V00529,V00530,V00531,V00532,V00533,V00534,V00535,V00536,V00537,V00538,V00539,V00540,V00541,V00542,V00543,V00544,V00545,V00546,V00547,V00548,V00549,V00550,V00551,V00552,V00553,V00554,V00555,V00556,V00557,V00558,V00559,V00560,V00561,V00562,V00563,V00564,V00565,V00566,V00567,V00568,V00569,V00570,V00571,V00572,V00573,V00574,V00575,V00576,V00577,V00578,V00579,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00588,V00589,V00590,V00591,V00592,V00593,V00594,V00595,V00596,V00597,V00598,V00599,V00600,V00601,V00602,V00603,V00604,V00605,V00606,V00607,V00608,V00609,V00610,V00611,V00612,V00613,V00614,V00615,V00616,V00617,V00618,V00619,V00620,V00621,V00622,V00623,V00624,V00625,V00626,V00627,V00628,V00629,V00630,V00631,V00632,V00633,V00634,V00635,V00636,V00637,V00638,V00639,V00640,V00641,V00642,V00643,distrito_alvo
310900615,Conceição de Itaguá,6915,92,64,881,15,12,3415,41,34,3500,51,27,6429,243,0,423,0,0,0,5,842,29,0,27,0,0,0,0,3198,112,0,186,0,0,0,3,3231,120,0,236,0,0,0,0,7092,4,6,909,0,0,3502,0,0,3590,0,0,4201,2350,452,95,0,0,0,601,255,32,4,0,0,0,2075,1157,222,44,0,0,0,2123,1191,228,46,0,0,0,5196,144,302,822,5,621,10,0,679,22,37,99,0,59,0,0,2570,66,143,410,4,294,6,0,2626,75,145,404,0,323,0,0,6787,290,24,0,0,0,873,31,0,0,0,0,3350,139,11,0,0,0,3437,142,7,0,0,0,374,299,28,31,166,137,205,155,Conceição de Itaguá
310900625,São José do Paraopeba,1376,8,0,151,0,0,723,4,0,653,0,0,869,443,8,68,0,0,0,0,99,42,0,10,0,0,0,0,451,234,8,34,0,0,0,0,415,209,0,27,0,0,0,0,1383,5,0,150,0,0,730,0,0,653,3,0,1018,301,52,15,0,0,0,116,26,0,0,0,0,0,544,155,24,3,0,0,0,474,143,27,8,0,0,0,14,0,93,1104,7,163,6,0,0,0,9,117,0,20,0,0,7,0,43,580,3,89,4,0,3,0,46,524,4,70,0,0,698,605,79,0,0,0,69,71,3,0,0,0,368,313,39,0,0,0,323,289,37,0,0,0,202,317,20,30,105,170,93,143,São José do Paraopeba
